Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Time,VEI
1972,6,9,,,"Fournaise, Piton de la",Indian O-W,Reunion,-21.229,55.713,D1,2
1972,10,2,,,Hakone,Honshu-Japan,Japan,35.22,139.02,D7,
1972,10,9,TSU,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,D1,1
1973,1,27,,,Vestmannaeyjar,Iceland-S,Iceland,63.43,-20.28,D1,3
1973,1,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,D1,3
1973,4,5,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,D1,
1973,12,5,,,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,D1,2
1974,2,11,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,3
1974,6,17,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,D1,3
1974,7,28,,,Niigata-Yake-yama,Honshu-Japan,Japan,36.92,138.03,D1,2
1974,8,9,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,D1,3
1974,10,10,,,Fuego,Guatemala,Guatemala,14.473,-90.88,D1,4
1974,10,17,TSU,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,D1,1
1974,10,22,,,Merapi,Java,Indonesia,-7.542,110.442,D1,2
1975,1,,,,Marapi,Sumatra,Indonesia,-0.381,100.473,D1,2
1975,6,17,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,D1,3
1975,11,29,TSU,EQ,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,0
1976,8,3,,,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,D1,
1976,8,12,,,Sangay,Ecuador,Ecuador,-2.03,-78.33,D1,3
1976,8,31,,,Semeru,Java,Indonesia,-8.108,112.92,D1,2
1976,9,15,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,2
1976,11,25,,,Merapi,Java,Indonesia,-7.542,110.442,D1,2
1977,1,10,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,D1,1
1977,4,5,,,Karthala,Indian O-W,Comoros,-11.75,43.38,D1,0
1977,4,27,,,Krafla,Iceland-NE,Iceland,65.73,-16.78,D1,1
1977,8,2,,,Kliuchevskoi,Kamchatka,Russia,56.057,160.638,D1,3
1977,8,7,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,D1,3
1978,1,13,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,D1,3
1978,7,29,,,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,D1,2
1978,9,2,,,Santa Maria,Guatemala,Guatemala,14.756,-91.552,D1,3
1978,9,19,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1978,,,,,Tangkubanparahu,Java,Indonesia,-6.77,107.6,D1,
1979,2,20,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,D1,1
1979,3,8,,,Karkar,New Guinea-NE of,Papua New Guinea,-4.649,145.964,D1,2
1979,4,13,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,D1,3
1979,7,5,,,Etna,Italy,Italy,37.734,15.004,D1,2
1979,7,18,TSU,,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,D1,
1979,9,6,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,2
1980,5,18,TSU,EQ,St. Helens,US-Washington,United States,46.2,-122.18,D1,5
1980,8,17,,,Hekla,Iceland-S,Iceland,63.98,-19.7,D1,3
1980,12,25,,,Hood,US-Oregon,United States,45.374,-121.694,D3,
1981,3,17,,,Etna,Italy,Italy,37.734,15.004,D1,2
1981,3,29,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1981,4,27,,,Alaid,Kuril Is,Russia,50.858,155.55,D1,2
1981,5,14,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1981,6,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,
1981,9,5,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,D1,2
1981,,,,,Vilyuchik,Kamchatka,Russia,52.68,158.3,D7,
1982,3,29,,EQ,"Chichon, El",Mexico,Mexico,17.36,-93.228,D1,5
1982,4,4,,,"Chichon, El",Mexico,Mexico,17.36,-93.228,D1,5
1982,5,17,,,Galunggung,Java,Indonesia,-7.25,108.05,D1,4
1982,5,27,,,"Chichon, El",Mexico,Mexico,17.36,-93.228,D1,5
1983,3,8,,,Kliuchevskoi,Kamchatka,Russia,56.057,160.638,D1,2
1983,7,23,,,Colo [Una Una],Sulawesi-Indonesia,Indonesia,-0.17,121.608,D1,4
1983,8,17,TSU,,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,D1,1
1983,10,3,,EQ,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,D1,3
1984,8,15,,,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,D5,
1984,9,9,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,3
1984,9,14,,,On-take,Honshu-Japan,Japan,35.9,137.48,D1,
1984,10,16,,,Etna,Italy,Italy,37.734,15.004,D1,3
1985,5,10,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1985,11,13,,,Ruiz,Colombia,Colombia,4.895,-75.322,D1,3
1985,12,19,,,Etna,Italy,Italy,37.734,15.004,D1,1
1986,5,8,,,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,D1,
1986,7,24,,,Stromboli,Italy,Italy,38.789,15.213,D1,2
1986,8,21,,,Oku Volc Field,Africa-W,Cameroon,6.25,10.5,D5,3
1986,10,15,,,Merapi,Java,Indonesia,-7.542,110.442,D1,2
1986,11,15,,,Oshima,Izu Is-Japan,Japan,34.73,139.38,D1,3
1987,1,25,,,Pacaya,Guatemala,Guatemala,14.381,-90.601,D1,3
1987,4,17,,,Etna,Italy,Italy,37.734,15.004,D1,2
1987,12,1,,EQ,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,D1,
1988,5,9,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,D1,3
1988,7,6,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,D1,3
1988,7,30,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1988,12,25,,,Lonquimay,Chile-C,Chile,-38.377,-71.58,D1,3
1988,,,,,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,D1,
1989,2,12,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,
1989,8,26,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,D1,
1990,2,2,,,Shiveluch,Kamchatka,Russia,56.653,161.36,D1,3
1990,2,10,,,Kelut,Java,Indonesia,-7.93,112.308,D1,4
1990,3,26,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,2
1990,4,18,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,2
1990,5,29,,,Sabancaya,Peru,Peru,-15.78,-71.85,D1,3
1990,6,24,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,D1,
1990,7,19,,,Santa Maria,Guatemala,Guatemala,14.756,-91.552,D1,3
1990,10,19,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,2
1990,11,21,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,D1,
1990,11,25,,,Kelut,Java,Indonesia,-7.93,112.308,D1,
1991,6,3,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,D1,1
1991,6,15,,EQ,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,D1,6
1991,6,,,,Mutnovsky,Kamchatka,Russia,52.453,158.195,D2,
1991,7,3,,,Karthala,Indian O-W,Comoros,-11.75,43.38,D1,2
1991,8,8,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,D1,5
1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,D1,1
1991,12,14,,,Etna,Italy,Italy,37.734,15.004,D1,2
1992,1,21,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,2
1992,3,18,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,D1,
1992,4,10,,,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,D1,3
1992,5,11,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,1
1992,7,5,,,Marapi,Sumatra,Indonesia,-0.381,100.473,D1,2
1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,D1,1
